config;cqs;cmin;cmed;cavg;cmax;ecmin;ecmed;ecavg;ecmax;smin;smed;savg;smax
minus;2;2;2;2;2;1.0;1.0;1.0;1.0;17;17;17;17
orderby;100;1;2;2;11;0.0;1.0;0.74;1.0;0;7;9;53
distinct;100;1;11;10;11;0.0;0.0;0.01;1.0;0;16;18;72
optional;100;2;2;2;8;0.0;0.0;0.0;0.0;1;2;3;21
union;100;11;11;11;11;0.0;0.0;0.0;0.0;0;16;17;72
filter;100;2;11;8;11;0.0;0.0;0.1;1.0;0;0;5;53
regex;100;2;11;9;11;0.0;0.0;0.17;1.0;0;10;9;28
limit;100;1;2;2;11;0.0;1.0;0.87;1.0;0;8;8;23
