config;cqs;cmin;cmed;cavg;cmax;ecmin;ecmed;ecavg;ecmax;smin;smed;savg;smax
filter\_orderby;100;2;2;2;11;0.0;1.0;0.65;1.0;0;10;10;53
union\_filter;100;8;11;10;11;0.0;0.0;0.0;0.0;0;0;3;53
filter\_regex;100;2;11;9;11;0.0;0.0;0.17;1.0;0;10;9;28
union\_orderby;9;4;8;8;11;0.0;0.0;0.0;0.0;0;12;17;53
union\_distinct;100;11;11;11;11;0.0;0.0;0.0;0.0;0;16;17;72
optional\_regex;100;11;11;11;11;0.0;0.0;0.0;0.0;0;6;6;28
optional\_limit;100;2;11;8;11;0.0;0.0;0.34;1.0;0;7;9;42
union\_regex;100;11;11;11;11;0.0;0.0;0.0;0.0;0;0;0;0
