config;cqs;cmin;cmed;cavg;cmax;ecmin;ecmed;ecavg;ecmax;smin;smed;savg;smax
filter\_orderby;6;2;4;5;11;0;0;0.33;1;0;343;690;2630
filter\_regex;6;2;3;5;11;0;0;0.33;1;0;0;691;3322
union\_filter;8;10;11;10;11;0;0;0;0;0;0;206;1653
union\_orderby;2;11;11;11;11;0;0;0;0;0;0;0;0
union\_distinct;8;4;11;10;11;0;0;0;0;0;0;219;1653
optional\_regex;2;11;11;11;11;0;0;0;0;0;0;0;0
optional\_limit;3;9;11;10;11;0;0;0;0;0;0;366;1099
union\_regex;1;11;11;11;11;0;0;0;0;0;0;0;0
