config;cqs;cmin;cmed;cavg;cmax;ecmin;ecmed;ecavg;ecmax;smin;smed;savg;smax
filter;10;2;2;3;11;0;0;0;0;0;0;0;0
regex;10;2;2;3;6;0;0;0;0;0;0;0;0
offset;10;1;11;8;11;0;0;0;0;0;0;0;0
limit;10;1;9;7;11;0;0;0;0;0;0;0;0
orderby;5;1;1;1;2;0;0;0.4;1;0;0;154;509
distinct;10;2;9;7;11;0;0;0;0;0;0;0;0
optional;10;2;11;8;11;0;0;0;0;0;0;0;0
union;10;4;11;9;11;0;0;0;0;0;0;0;0
